CSC, 1933608, 1
CSC, 1966175, 2
CSC, 1988401, 14
CSC, 1988659, 0
CSC, 1988753, 2
CSC, 1989113, 2
CSC, 1989255, 0
CSC, 2333325, 1
CSC, 2912357, 0
CSC, 2912740, 1
CSC, 2912745, 1
CSC, 2934880, 0
CSC, 2944852, 100
CSC, 2944889, 1
CSC, 2967195, 0
CSC, 2977722, 1
CSC, 2993444, 1
CSC, 2993483, 0
CSC, 3851337, 2
CSC, 5583919, 0
CSC, 7023930, 0
CSC, 7024034, 6
CSC, 7038569, 10
CSC, 7038571, 2
CSC, 7045585, 2
CSC, 7070762, 1
CSC, 7131269, 1
CSC, 7131911, 2
CSC, 7185907, 1
CSC, 7197803, 0
USA, 1933608, 2
USA, 1966175, 2
USA, 1988401, 7
USA, 1988659, 44
USA, 1988753, 38
USA, 1989113, 96
USA, 1989255, 3
USA, 2333325, 2
USA, 2912357, 45
USA, 2912740, 4
USA, 2912745, 11
USA, 2934880, 1
USA, 2944852, 15
USA, 2944889, 23
USA, 2967195, 1
USA, 2977722, 1
USA, 2993444, 2
USA, 2993483, 2
USA, 3851337, 69
USA, 5583919, 1
USA, 7023930, 2
USA, 7024034, 1
USA, 7038569, 1
USA, 7038571, 34
USA, 7045585, 1
USA, 7070762, 9
USA, 7131269, 6
USA, 7131911, 55
USA, 7185907, 7
USA, 7197803, 2
Singapore, 1933608, 2
Singapore, 1966175, 1
Singapore, 1988401, 4
Singapore, 1988659, 2
Singapore, 1988753, 9
Singapore, 1989113, 49
Singapore, 1989255, 1
Singapore, 2333325, 4
Singapore, 2912357, 20
Singapore, 2912740, 2
Singapore, 2912745, 14
Singapore, 2934880, 2
Singapore, 2944852, 7
Singapore, 2944889, 9
Singapore, 2967195, 1
Singapore, 2977722, 2
Singapore, 2993444, 1
Singapore, 2993483, 7
Singapore, 3851337, 7
Singapore, 5583919, 1
Singapore, 7023930, 2
Singapore, 7024034, 3
Singapore, 7038569, 2
Singapore, 7038571, 2
Singapore, 7045585, 2
Singapore, 7070762, 3
Singapore, 7131269, 2
Singapore, 7131911, 7
Singapore, 7185907, 8
Singapore, 7197803, 4
China, 1933608, 8
China, 1966175, 1
China, 1988401, 1
China, 1988659, 2
China, 1988753, 2
China, 1989113, 11
China, 1989255, 1
China, 2333325, 9
China, 2912357, 28
China, 2912740, 1
China, 2912745, 5
China, 2934880, 3
China, 2944852, 65
China, 2944889, 16
China, 2967195, 1
China, 2977722, 1
China, 2993444, 3
China, 2993483, 1
China, 3851337, 7
China, 5583919, 1
China, 7023930, 2
China, 7024034, 1
China, 7038569, 1
China, 7038571, 15
China, 7045585, 1
China, 7070762, 3
China, 7131269, 6
China, 7131911, 24
China, 7185907, 6
China, 7197803, 1
