CSC, 1933608, 0
CSC, 1966175, 4
CSC, 1988401, 9
CSC, 1988659, 3
CSC, 1988753, 17
USA, 1933608, 3
USA, 1966175, 2
USA, 1988401, 10
USA, 1988659, 42
USA, 1988753, 37
Singapore, 1933608, 3
Singapore, 1966175, 1
Singapore, 1988401, 8
Singapore, 1988659, 2
Singapore, 1988753, 7
China, 1933608, 10
China, 1966175, 1
China, 1988401, 3
China, 1988659, 3
China, 1988753, 4
